Dataset,K,Seed,Model,NPMI,CV,Accuracy
20NG,20,666,GINopic,0.12279255018019505,0.647231867603181,0.3972210870453617
20NG,50,666,GINopic,0.11645133427503553,0.6261973541066106,0.3959950960359624
BBC,5,666,GINopic,0.13180930874157032,0.7276649239748734,0.8802395209580839
BBC,20,666,GINopic,0.1297616159898101,0.6851280544845264,0.9011976047904192
Bio,20,666,GINopic,0.15653900805181106,0.6333645182442503,0.4873349982161969
Bio,50,666,GINopic,0.12089145676561013,0.5679955262892367,0.5201569746699964
SO,20,666,GINopic,0.06457550483582472,0.4822553634202814,0.5668789808917197
SO,50,666,GINopic,0.04843129188707063,0.46091386610693447,0.678556263269639
SearchSnippets,8,666,GINopic,0.06356559895567641,0.5421751785361775,0.7213470939706681
SearchSnippets,20,666,GINopic,0.03854055763159543,0.5048727264851272,0.7724063009234112
BRNews,8,666,GINopic,0.045256460444727545,0.5671408204559059,0.9180555555555555
BRNews,20,666,GINopic,0.013584681794498312,0.5709716125682566,0.9277777777777778
hotels_reviews,8,666,GINopic,0.05912929619384889,0.6626673876467103,0.44147637512566423
hotels_reviews,20,666,GINopic,0.06430726503589637,0.6568460058330874,0.46546029010483986
